opportunity_id,strategy,status,error
300194.SZ|2018-10-11,OGR,PASS,
300175.SZ|2018-10-11,OGR,PASS,
300304.SZ|2018-10-11,OGR,PASS,
300593.SZ|2018-10-11,OGR,PASS,
300129.SZ|2018-10-11,OGR,PASS,
300185.SZ|2018-10-11,OGR,PASS,
300366.SZ|2018-10-11,OGR,PASS,
300183.SZ|2018-10-11,OGR,PASS,
002213.SZ|2018-10-12,OGR,PASS,
600343.SH|2018-10-11,OGR,PASS,
600874.SH|2018-10-11,OGR,PASS,
002293.SZ|2018-10-11,OGR,PASS,
300100.SZ|2018-10-11,OGR,PASS,
002907.SZ|2018-10-12,OGR,PASS,
300627.SZ|2018-10-11,OGR,PASS,
600702.SH|2018-10-11,OGR,PASS,
300119.SZ|2018-10-11,OGR,PASS,
300584.SZ|2018-10-11,OGR,PASS,
300171.SZ|2018-10-11,OGR,PASS,
300334.SZ|2018-10-11,OGR,PASS,
300274.SZ|2018-10-11,OGR,PASS,
300069.SZ|2018-10-11,OGR,PASS,
300364.SZ|2018-10-11,OGR,PASS,
300390.SZ|2018-10-11,OGR,PASS,
300272.SZ|2018-10-11,OGR,PASS,
300275.SZ|2018-10-11,OGR,PASS,
300081.SZ|2018-10-11,OGR,PASS,
002042.SZ|2018-10-19,OGR,PASS,
300645.SZ|2018-12-25,OGR,PASS,
000820.SZ|2019-01-15,OGR,PASS,
603725.SH|2019-01-22,OGR,PASS,
002881.SZ|2019-04-26,OGR,PASS,
600268.SH|2019-04-29,OGR,PASS,
002055.SZ|2019-04-29,OGR,PASS,
002354.SZ|2019-04-26,OGR,PASS,
600235.SH|2019-04-29,OGR,PASS,
300571.SZ|2019-04-26,OGR,PASS,
300494.SZ|2019-04-30,OGR,PASS,
600703.SH|2019-05-06,OGR,PASS,
002670.SZ|2019-04-29,OGR,PASS,
000723.SZ|2019-08-02,OGR,PASS,
600604.SH|2019-07-31,OGR,PASS,
600568.SH|2019-08-02,OGR,PASS,
300194.SZ|2019-08-02,OGR,PASS,
000859.SZ|2019-08-02,OGR,PASS,
600638.SH|2019-08-02,OGR,PASS,
600736.SH|2019-08-02,OGR,PASS,
002219.SZ|2019-08-02,OGR,PASS,
600733.SH|2019-10-30,OGR,PASS,
603738.SH|2019-11-01,OGR,PASS,
002535.SZ|2019-11-22,OGR,PASS,
603101.SH|2020-01-22,OGR,PASS,
603333.SH|2020-02-03,OGR,PASS,
603085.SH|2020-01-23,OGR,PASS,
002565.SZ|2020-01-23,OGR,PASS,
603121.SH|2020-01-20,OGR,PASS,
002234.SZ|2020-01-22,OGR,PASS,
601601.SH|2020-03-09,OGR,PASS,
603888.SH|2020-03-09,OGR,PASS,
300691.SZ|2020-04-10,OGR,PASS,
601788.SH|2020-10-26,OGR,PASS,
300501.SZ|2020-12-25,OGR,PASS,
300494.SZ|2021-01-07,OGR,PASS,
300278.SZ|2021-01-26,OGR,PASS,
002348.SZ|2021-01-22,OGR,PASS,
300184.SZ|2021-01-27,OGR,PASS,
300437.SZ|2021-01-29,OGR,PASS,
002992.SZ|2021-01-29,OGR,PASS,
300462.SZ|2021-02-01,OGR,PASS,
300842.SZ|2021-02-01,OGR,PASS,
601633.SH|2021-02-23,OGR,PASS,
002695.SZ|2021-03-09,OGR,PASS,
300677.SZ|2021-03-16,OGR,PASS,
002456.SZ|2021-03-17,OGR,PASS,
300246.SZ|2021-04-28,OGR,PASS,
603338.SH|2021-04-30,OGR,PASS,
601933.SH|2021-04-30,OGR,PASS,
300206.SZ|2021-07-15,OGR,PASS,
002661.SZ|2021-07-16,OGR,PASS,
002987.SZ|2021-07-15,OGR,PASS,
603363.SH|2021-07-19,OGR,PASS,
002970.SZ|2021-10-18,OGR,PASS,
603444.SH|2021-10-15,OGR,PASS,
300464.SZ|2021-10-19,OGR,PASS,
300003.SZ|2021-10-29,OGR,PASS,
002727.SZ|2022-03-15,OGR,PASS,
002585.SZ|2022-03-28,OGR,PASS,
300305.SZ|2022-04-11,OGR,PASS,
600893.SH|2022-04-11,OGR,PASS,
300965.SZ|2022-04-12,OGR,PASS,
002997.SZ|2022-04-12,OGR,PASS,
002243.SZ|2022-04-15,OGR,PASS,
002331.SZ|2022-04-15,OGR,PASS,
002709.SZ|2022-04-11,OGR,PASS,
002202.SZ|2022-04-15,OGR,PASS,
002374.SZ|2022-04-18,OGR,PASS,
600621.SH|2022-04-18,OGR,PASS,
300590.SZ|2022-04-14,OGR,PASS,
300274.SZ|2022-04-20,OGR,PASS,
301053.SZ|2022-04-21,OGR,PASS,
002008.SZ|2022-04-21,OGR,PASS,
300841.SZ|2022-04-22,OGR,PASS,
002536.SZ|2022-04-22,OGR,PASS,
600201.SH|2022-04-22,OGR,PASS,
300458.SZ|2022-04-22,OGR,PASS,
600327.SH|2022-04-25,OGR,PASS,
002546.SZ|2022-04-25,OGR,PASS,
002860.SZ|2022-04-22,OGR,PASS,
603099.SH|2022-04-25,OGR,PASS,
002798.SZ|2022-04-25,OGR,PASS,
300556.SZ|2022-04-25,OGR,PASS,
300503.SZ|2022-04-25,OGR,PASS,
300460.SZ|2022-04-25,OGR,PASS,
002845.SZ|2022-04-25,OGR,PASS,
002415.SZ|2022-05-06,OGR,PASS,
002074.SZ|2022-08-29,OGR,PASS,
002615.SZ|2022-10-17,OGR,PASS,
603908.SH|2022-10-19,OGR,PASS,
000906.SZ|2022-10-27,OGR,PASS,
002120.SZ|2022-10-31,OGR,PASS,
300953.SZ|2023-03-08,OGR,PASS,
300699.SZ|2023-03-28,OGR,PASS,
300432.SZ|2023-04-25,OGR,PASS,
301327.SZ|2023-04-26,OGR,PASS,
002932.SZ|2023-04-27,OGR,PASS,
300841.SZ|2023-07-06,OGR,PASS,
301327.SZ|2023-08-21,OGR,PASS,
301073.SZ|2023-10-09,OGR,PASS,
000977.SZ|2023-10-18,OGR,PASS,
300552.SZ|2024-01-11,OGR,PASS,
603345.SH|2024-01-22,OGR,PASS,
301382.SZ|2024-01-22,OGR,PASS,
300786.SZ|2024-01-29,OGR,PASS,
603259.SH|2024-01-29,OGR,PASS,
002806.SZ|2024-01-30,OGR,PASS,
000701.SZ|2024-01-30,OGR,PASS,
301001.SZ|2024-01-29,OGR,PASS,
003003.SZ|2024-01-30,OGR,PASS,
300305.SZ|2024-01-30,OGR,PASS,
300756.SZ|2024-01-30,OGR,PASS,
301218.SZ|2024-01-30,OGR,PASS,
300636.SZ|2024-01-29,OGR,PASS,
002855.SZ|2024-01-30,OGR,PASS,
002651.SZ|2024-01-29,OGR,PASS,
300973.SZ|2024-01-30,OGR,PASS,
002129.SZ|2024-01-30,OGR,PASS,
300626.SZ|2024-01-31,OGR,PASS,
000793.SZ|2024-01-31,OGR,PASS,
301113.SZ|2024-01-31,OGR,PASS,
000710.SZ|2024-01-31,OGR,PASS,
002425.SZ|2024-01-31,OGR,PASS,
301129.SZ|2024-01-31,OGR,PASS,
300177.SZ|2024-01-31,OGR,PASS,
002583.SZ|2024-01-31,OGR,PASS,
300683.SZ|2024-01-30,OGR,PASS,
300597.SZ|2024-01-31,OGR,PASS,
002248.SZ|2024-01-31,OGR,PASS,
300853.SZ|2024-01-30,OGR,PASS,
002829.SZ|2024-01-31,OGR,PASS,
001255.SZ|2024-01-31,OGR,PASS,
003011.SZ|2024-01-31,OGR,PASS,
300423.SZ|2024-01-31,OGR,PASS,
002650.SZ|2024-01-31,OGR,PASS,
002365.SZ|2024-01-31,OGR,PASS,
001238.SZ|2024-01-31,OGR,PASS,
300477.SZ|2024-01-31,OGR,PASS,
300246.SZ|2024-01-31,OGR,PASS,
000576.SZ|2024-01-31,OGR,PASS,
603895.SH|2024-02-01,OGR,PASS,
300437.SZ|2024-01-31,OGR,PASS,
002426.SZ|2024-01-31,OGR,PASS,
300120.SZ|2024-02-01,OGR,PASS,
002168.SZ|2024-04-15,OGR,PASS,
002306.SZ|2024-04-15,OGR,PASS,
605178.SH|2024-04-15,OGR,PASS,
002713.SZ|2024-05-24,OGR,PASS,
300287.SZ|2024-05-28,OGR,PASS,
002547.SZ|2024-05-27,OGR,PASS,
603466.SH|2024-06-06,OGR,PASS,
301278.SZ|2024-06-24,OGR,PASS,
002313.SZ|2024-06-21,OGR,PASS,
002368.SZ|2024-07-15,OGR,PASS,
605178.SH|2024-12-24,OGR,PASS,
600822.SH|2024-12-25,OGR,PASS,
002272.SZ|2025-01-02,OGR,PASS,
300502.SZ|2025-02-28,OGR,PASS,
300634.SZ|2025-03-21,OGR,PASS,
000004.SZ|2025-03-24,OGR,PASS,
300979.SZ|2025-04-03,OGR,PASS,
000868.SZ|2025-04-01,OGR,PASS,
002045.SZ|2025-04-03,OGR,PASS,
300852.SZ|2025-03-31,OGR,PASS,
603283.SH|2025-04-07,OGR,PASS,
301459.SZ|2025-04-07,OGR,PASS,
300454.SZ|2025-04-07,OGR,PASS,
301051.SZ|2025-04-07,OGR,PASS,
300393.SZ|2025-04-07,OGR,PASS,
300036.SZ|2025-04-07,OGR,PASS,
300769.SZ|2025-04-07,OGR,PASS,
300996.SZ|2025-04-07,OGR,PASS,
300488.SZ|2025-04-07,OGR,PASS,
301152.SZ|2025-04-07,OGR,PASS,
601869.SH|2025-04-07,OGR,PASS,
300595.SZ|2025-04-07,OGR,PASS,
301510.SZ|2025-04-07,OGR,PASS,
002902.SZ|2025-04-07,OGR,PASS,
300678.SZ|2025-04-07,OGR,PASS,
603730.SH|2025-04-07,OGR,PASS,
301516.SZ|2025-04-07,OGR,PASS,
301086.SZ|2025-04-07,OGR,PASS,
601966.SH|2025-04-07,OGR,PASS,
300833.SZ|2025-04-07,OGR,PASS,
301498.SZ|2025-10-23,OGR,PASS,
301236.SZ|2026-03-19,OGR,PASS,
000158.SZ|2026-03-20,OGR,PASS,
300587.SZ|2026-03-23,OGR,PASS,
300474.SZ|2026-03-23,OGR,PASS,
301525.SZ|2026-03-23,OGR,PASS,
603008.SH|2026-03-30,OGR,PASS,
301302.SZ|2026-04-01,OGR,PASS,
002800.SZ|2026-04-03,OGR,PASS,
601567.SH|2026-04-28,OGR,PASS,
300290.SZ|2026-05-28,OGR,PASS,
300255.SZ|2026-06-15,OGR,PASS,
002243.SZ|2026-06-10,OGR,PASS,
300039.SZ|2026-06-10,OGR,PASS,
002490.SZ|2026-06-18,OGR,PASS,
600598.SH|2026-06-23,OGR,PASS,
002177.SZ|2026-06-26,OGR,PASS,
600996.SH|2026-06-30,OGR,PASS,
300757.SZ|2026-07-02,OGR,PASS,
002607.SZ|2026-07-09,OGR,PASS,
002729.SZ|2026-07-08,OGR,PASS,
301197.SZ|2026-07-07,OGR,PASS,
603636.SH|2026-07-13,OGR,PASS,
002446.SZ|2026-07-14,OGR,PASS,
002465.SZ|2026-07-14,OGR,PASS,
600783.SH|2026-07-14,OGR,PASS,
600879.SH|2026-07-15,OGR,PASS,
600343.SH|2026-07-15,OGR,PASS,
605598.SH|2026-07-14,OGR,PASS,
002772.SZ|2026-07-16,OGR,PASS,
