gap,mcb_mode,target,mechanic,year,period_label,days,opening_nav,closing_nav,net_pnl,annual_return,MaxDD,CVaR5,Sharpe,average_gross,p95_gross,turnover,traded_notional,fees,capital_days,capital_days_basis,max_single_name,max_family_exposure,max_Demand_family,max_gross,source,MaxDD_basis,concentration_basis
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,2018,243,4904782.129191859,5262970.692452654,358188.56326079555,0.07302843507134793,0.023866170246595764,-0.006673694189198444,1.5410118975115743,0.12672985039884707,0.3784065188632237,4.610744676103259,23331645.887821168,44822.615394183704,221042622.81844944,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.10703850040019354,0.4969419855095663,0.4969419855095663,0.453200789069667,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,2019,244,5262970.692452654,5744864.912177166,481894.2197245117,0.09156315850581698,0.0370506039790196,-0.00800868575315558,1.5946753781674345,0.13133770253431282,0.6150432067053285,5.1444944829382795,29198848.19411158,46707.41059249741,265351686.64674497,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.09073188649148514,0.6147437712014965,0.6147437712014965,0.7475212569862943,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,2020,243,5744864.912177166,6342499.396768907,597634.4845917411,0.10402933641223822,0.04186750555432239,-0.011127787492573139,1.432921299597155,0.16886663024013562,0.5816923890741144,5.8040633172418215,35129892.09608911,56992.246360919526,366938770.51156515,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.09575615436229454,0.6181112128417281,0.6181112128417281,0.7596878055153231,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,2021,243,6342499.396768907,6883997.879988496,541498.4832195891,0.08537619782753891,0.014637973221858003,-0.004650689486224676,2.626206200174617,0.12204202984093374,0.40876481540867377,4.7686384721922686,31284650.425202437,45055.41639247944,283092173.0836595,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.09881607509225857,0.43424767844227546,0.43424767844227546,0.5303850946219818,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,2022,242,6883997.879988496,7180337.019533736,296339.1395452395,0.04304753498060854,0.029391096721305243,-0.006716573759102098,1.1040879212597137,0.14031336271233305,0.3964914031143713,4.899511278185521,34359799.40641275,62074.37004875837,345784698.50535536,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.09181692962483634,0.4136759757926589,0.4136759757926589,0.43468306451042293,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,2023,242,7180337.019533736,7555783.543522249,375446.5239885133,0.05228814789154468,0.015080987258068501,-0.006741971429191292,1.2800388650426027,0.13650745829707553,0.5964374430788713,4.775358964298187,35814498.87700562,58322.14660421619,373509840.45822716,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.09031773671765077,0.6525849684415724,0.6525849684415724,0.7761471597418587,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,2024,242,7555783.543522249,8654110.565589283,1098327.0220670337,0.14536242545072042,0.06115151544657793,-0.00990208073100053,1.394279670619602,0.1650706054772244,0.48841601816630426,6.883022992648751,54429214.20330609,90203.35000081558,505580732.17010117,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.08992492614521856,0.6531663326052427,0.6531663326052427,0.7057524671907509,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,2025,243,8654110.565589283,9477642.181868974,823531.6162796915,0.09516074587193746,0.03335771320449454,-0.0074315874605878594,1.80542361079956,0.24288916632842492,0.6194276506086525,8.692832825951557,78144274.34543249,103202.47877254651,774206651.9891176,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.11405242817584349,0.5965359357571351,0.5965359357571351,0.766657005670732,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,2026 YTD,164,9477642.181868974,10500720.151720477,1023077.9698515031,0.10794646497719484,0.020023159152426806,-0.007004145536133141,2.669226977226217,0.1698931280419289,0.5764124382682111,4.684820308139036,48006926.46667801,66527.76074158936,420313317.38507795,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.13530667003343202,0.5368837806638269,0.5368837806638269,0.705808547580873,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,2018,243,4904782.129191859,5095269.090928771,190486.9617369119,0.03883698739709307,0.07772541352658435,-0.009723477359853037,0.6176795506160413,0.21150755229628504,0.2537414274242079,14.498667297794954,71871772.01033257,139540.9998652952,377910454.11609346,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.25324541520708793,0.2610812708397388,0.2610812708397388,0.2611284050300804,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__G25__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
