scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,incremental_CAGR,incremental_MaxDD,incremental_CVaR5,incremental_capital_days,incremental_net_pnl,incremental_average_gross_exposure,incremental_pnl_per_capital_day,capital_day_denominator_status
COMBINED,COMBINED,IFCGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.20375157144789768,0.0995402094773298,-0.0223521286680701,2942401043.509713,3102681.823546585,0.47965922391292726,0.001054472785207311,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.3183489569226299,0.18811140942942,-0.020495619899119404,6178857188.828123,11879283.205078242,0.48095645928454894,0.0019225696341642195,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.19542636129810442,0.10431761606563748,-0.0235853133705625,2975953120.8828897,2955654.585558499,0.49536959948935666,0.0009931791481586347,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.22127095697913723,0.33670494901830994,-0.0387455332208987,6206844458.412349,7547921.170377403,0.5515995328012062,0.0012160641725357637,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.20681344959945183,0.2992947272863052,-0.0337906669604058,3101357086.9974394,3155786.0113036977,0.5681340243458843,0.0010175500346394982,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.2304299933096988,0.34698414348944506,-0.0395267994239695,6268245942.990467,7659410.071936913,0.5668550265442605,0.0012219383447297772,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.2065298505503323,0.30393198215243583,-0.0347995795006408,3175634684.9114094,3141022.052609166,0.5858394951150855,0.0009891005623327202,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.22917756974098386,0.2790223395122211,-0.0380509360193615,6277489556.55483,7895721.736574754,0.5448839184285429,0.0012577833328818841,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.2067534132853885,0.2992657442133224,-0.0337856112456134,3098388130.0516033,3152491.659581013,0.5680389234465048,0.0010174618308805969,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.24184934644453127,0.2789592351750131,-0.038796110507228705,6391751496.711451,8158132.3174413,0.5599463797057039,0.001276353175125574,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,ENTRY_ONLY,,0.2064709949267583,0.3039064509080742,-0.0347952362193842,3172669161.5946555,3137754.114420914,0.5857565781178451,0.0009889950557731041,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,ATRDR,0.2920069021949362,0.2615593493691125,-0.0332566962963549,7489951769.466274,10927520.271832436,0.6563141119916831,0.0014589573615653763,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,MCB,0.09862732477812451,0.09336532285254848,-0.014036938379145802,2354478213.809664,2855216.02266284,0.2365324073493088,0.001212674640995279,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,OGR,0.3605181240223219,0.1386329682742892,-0.021663305783200602,5778156813.112122,14735486.68461258,0.2935784311846854,0.0025502053961522775,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,SMV6,0.006120102463414809,0.03740625625623659,-0.0041042259996727,522720838.42038417,156140.4289168762,0.056217877178597,0.00029870710605056167,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,ATRDR,0.23427279463224068,0.1363351971843143,-0.0276847755569893,3786390773.691894,3617303.299832414,0.6188421152248891,0.0009553433641782799,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,MCB,0.134551158810662,0.1046644342724389,-0.015016981881716698,1703419801.9774532,1988871.8219977366,0.2828008067912796,0.0011675758492938205,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,OGR,0.048742491811424295,0.24197154985003838,-0.025378297519911396,1668327638.9624004,692845.373910265,0.32012088290859575,0.0004152933498968903,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,SMV6,0.025769315883802803,0.0282470833680173,-0.0053033543576417,292318497.3336929,362382.5722891296,0.05136530830677291,0.001239684028190169,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,ATRDR,0.2919195228856097,0.26162275584451233,-0.033252111970004404,7484673957.846517,10917820.0301006,0.6563047098354859,0.001458690130203329,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,MCB,0.09857429518438708,0.0933419048935267,-0.014032757160948402,2352461519.6771,2851992.7720186226,0.23648027082217918,0.0012123440694622237,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,IFCGR,0.308227864393686,0.1433023045797733,-0.021555317464545504,5126033295.377218,11774012.783626378,0.2904106689173084,0.0022969052491805834,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,SMV6,0.006117783178749489,0.0373883251809316,-0.004102207708245301,522278114.25147057,155996.0978387287,0.05620005273045539,0.0002986839646962853,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,ATRDR,0.2342446989995554,0.1363117299385878,-0.0276794606349573,3783049068.5599566,3614192.377458159,0.6187454200710079,0.0009553649217756316,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,MCB,0.1345128550494549,0.1046427420707057,-0.0150123157988373,1701703437.824247,1986826.0746701602,0.28271842255976265,0.0011675513080060904,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,IFCGR,0.04866273079687029,0.2419568477297634,-0.025372737928785003,1666711483.7254124,691183.8350038321,0.32008054546046516,0.0004146991496446084,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,SMV6,0.0257613456319416,0.0282332317539409,-0.0053022459947459,292062925.96383154,362006.2517800722,0.0513567908419334,0.0012394803297454547,DEFINED
