X,Y,period,strategy,requests,funded_requests,positive_R1_requests,p50_registered_limit_use,p95_registered_limit_use,max_registered_limit_use,grade
X1,0.15,2022–2023,OGR,44,44,44,0.08452474461126477,0.3540369531320025,0.5762470651531462,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2022–2023,SMV6,38,32,38,0.504226910618657,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2024,ATRDR,1526,306,756,0.09630909985637706,0.3569774498813585,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2024,MCB,769,10,769,0.1873977834400744,0.2933721116220297,0.31203096793108126,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2024,OGR,53,53,53,0.19984273338632413,0.42595749460766996,0.5668236241645138,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2024,SMV6,24,20,24,0.21652100323078427,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2025,ATRDR,409,283,319,0.049822359167024,0.2216173429978993,0.406271973147849,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2025,MCB,205,4,205,0.04993791605937764,0.08359751413234663,0.08556526626409583,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2025,OGR,31,31,31,0.11275609221969866,0.3397408573852737,0.48982901789639555,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2025,SMV6,82,55,82,0.34116676973819837,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2026 YTD,ATRDR,237,178,182,0.05479917435237168,0.2176607486001444,0.47694375977163633,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2026 YTD,MCB,130,0,130,,,,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2026 YTD,OGR,30,30,30,0.048519557780855545,0.13822943719572425,0.24092271771044202,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,2026 YTD,SMV6,27,21,27,0.4937578027465668,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,full,ATRDR,4957,2088,3186,0.08045032513163541,0.38052674967892397,1.0000000000000002,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,full,MCB,2591,65,2591,0.08556526626409583,0.36291307050979676,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,full,OGR,486,394,486,0.12211359513666734,0.5026993388619011,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.15,full,SMV6,275,208,275,0.4137885744500144,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2018–2021,ATRDR,2054,886,1389,0.0910886516247821,0.445401094911473,1.0000000000000002,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2018–2021,MCB,1064,39,1064,0.0817190994759941,0.4329939126097541,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2018–2021,OGR,328,236,328,0.13252479900603203,0.57137780809899,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2018–2021,SMV6,104,80,104,0.5071098265895954,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2022–2023,ATRDR,731,435,540,0.09394952466118466,0.41374866481127603,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2022–2023,MCB,423,12,423,0.05921181250257861,0.3625521134743803,0.6072498352979631,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2022–2023,OGR,44,44,44,0.08452474461126477,0.3540369531320025,0.5762470651531462,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2022–2023,SMV6,38,32,38,0.504226910618657,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2024,ATRDR,1526,306,756,0.09630909985637706,0.3569774498813585,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2024,MCB,769,10,769,0.1873977834400744,0.2933721116220297,0.31203096793108126,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2024,OGR,53,53,53,0.19984273338632413,0.42595749460766996,0.5668236241645138,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2024,SMV6,24,20,24,0.21652100323078427,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2025,ATRDR,409,283,319,0.049822359167024,0.2216173429978993,0.406271973147849,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2025,MCB,205,4,205,0.04993791605937764,0.08359751413234663,0.08556526626409583,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1,0.2,2025,OGR,31,31,31,0.11275609221969866,0.3397408573852737,0.48982901789639555,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
