gap,period,mcb_mode,policy,entry,count,wins,losses,total_pnl,best_trade,worst_trade,capital_days
OGR,2018_2021,independent,P3_D4,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601021
OGR,2018_2021,independent,P3_D4,2019-02-26 09:30:00,1,1,0,1062.736328641815,1062.736328641815,1062.736328641815,638164.8514944894
OGR,2018_2021,independent,P3_D4,2019-09-05 09:30:00,2,1,1,97.78955903743918,1638.0618268044927,-1540.2722677670536,1701436.4357736078
OGR,2018_2021,independent,P3_D4,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,independent,P3_D4,2020-07-10 09:30:00,1,0,1,-2192.5056771348172,-2192.5056771348172,-2192.5056771348172,746149.6480308197
OGR,2018_2021,independent,P3_D4,2021-08-30 09:30:00,1,1,0,2731.1392735707777,2731.1392735707777,2731.1392735707777,1127155.6153258416
OGR,2018_2021,independent,P3_D5,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
OGR,2018_2021,independent,P3_D5,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
OGR,2018_2021,independent,P3_D5,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601021
OGR,2018_2021,independent,P3_D5,2019-02-26 09:30:00,1,1,0,1062.736328641815,1062.736328641815,1062.736328641815,638164.8514944894
OGR,2018_2021,independent,P3_D5,2019-09-05 09:30:00,2,1,1,97.78955903743918,1638.0618268044927,-1540.2722677670536,1701436.4357736078
OGR,2018_2021,independent,P3_D5,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,independent,P3_D5,2020-07-10 09:30:00,1,0,1,-2192.5056771348172,-2192.5056771348172,-2192.5056771348172,746149.6480308197
OGR,2018_2021,independent,P3_D5,2021-08-30 09:30:00,1,1,0,2731.1392735707777,2731.1392735707777,2731.1392735707777,1127155.6153258416
OGR,2018_2021,independent,P3_D6,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
OGR,2018_2021,independent,P3_D6,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
OGR,2018_2021,independent,P3_D6,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601021
OGR,2018_2021,independent,P3_D6,2019-02-26 09:30:00,1,1,0,1062.736328641815,1062.736328641815,1062.736328641815,638164.8514944894
OGR,2018_2021,independent,P3_D6,2019-09-05 09:30:00,2,1,1,97.78955903743918,1638.0618268044927,-1540.2722677670536,1701436.4357736078
OGR,2018_2021,independent,P3_D6,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,independent,P3_D6,2020-07-10 09:30:00,1,0,1,-2192.5056771348172,-2192.5056771348172,-2192.5056771348172,746149.6480308197
OGR,2018_2021,independent,P3_D6,2021-08-30 09:30:00,1,1,0,2731.1392735707777,2731.1392735707777,2731.1392735707777,1127155.6153258416
OGR,2022_2023,confirmation_tag,P1,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P1,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,confirmation_tag,P2,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P2,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,confirmation_tag,P3_D4,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P3_D4,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,confirmation_tag,P3_D5,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P3_D5,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
